NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
Nelson Mandela High,Calgary School District No. 19,Public School,Nelson Mandela High School,45 Saddletowne Circle NE,Calgary,AB,GR10-12,N,CBE Data,1989,N,N,N,Y,2019/03/03,T3J4W3,2326426,-113.948845710684,51.1219805650372,"(51.1219805650372, -113.948845710684)"
Aurora Learning Calgary,Aurora Learning Foundation (Calgary),Private School,Aurora Learning Calgary,#137 5305 McCall Way NE,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,1397,N,Y,Y,Y,2019/03/03,T2E7N7,2304641,-114.003034495146,51.1013393142261,"(51.1013393142261, -114.003034495146)"
Southwest Elementary Campus,Foundations for the Future Charter Academy Charter School Society,Charter,Southwest Elementary Campus,898 Sylvester Cres. SW,Calgary,AB,Elementary,N,Provincial Data,1352,N,Y,N,N,2019/03/03,T2W0R7,1382887,-114.082546602452,50.9589807243142,"(50.9589807243142, -114.082546602452)"
Manmeet Singh Bhullar,Calgary School District No. 19,Public School,Manmeet Singh Bhullar School,1027 Martindale Boulevard NE,Calgary,AB,GRK-6,N,CBE Data,2145,Y,Y,N,N,2019/03/03,T3J4Z1,2393006,-113.959422549941,51.1233068218433,"(51.1233068218433, -113.959422549941)"
Samuel W. Shaw,Calgary School District No. 19,Public School,Samuel W. Shaw School,115 Shannon Drive SW,Calgary,AB,GR5-9,N,CBE Data,1451,N,Y,Y,N,2019/03/03,T2Y0K6,1587356,-114.087375592858,50.9081321232495,"(50.9081321232495, -114.087375592858)"
"Hamptons, The",Calgary School District No. 19,Public School,The Hamptons School,10330 Hamptons Boulevard NW,Calgary,AB,GRK-4,N,CBE Data,387,Y,Y,N,N,2019/03/03,T3A6G2,1383519,-114.148506980646,51.1434457334959,"(51.1434457334959, -114.148506980646)"
W.O. Mitchell,Calgary School District No. 19,Public School,W.O. Mitchell School,511 Silvergrove Drive NW,Calgary,AB,GRK-6,N,CBE Data,9257,Y,Y,N,N,2019/03/03,T3B4R9,1378946,-114.194287480151,51.1136907741726,"(51.1136907741726, -114.194287480151)"
Calgary Girls',Calgary Girls' School Society,Charter,Calgary Girls' School,6304 Larkspur Way S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,1128,N,Y,Y,N,2019/03/03,T3E5P7,1382200,-114.114753929533,50.9990770243395,"(50.9990770243395, -114.114753929533)"
Ernest Morrow,Calgary School District No. 19,Public School,Ernest Morrow School,1212 47 Street SE,Calgary,AB,GR6-9,N,CBE Data,9644,N,Y,Y,N,2019/03/03,T2A1R3,1382129,-113.964838666247,51.043384557615,"(51.043384557615, -113.964838666247)"
AADAC,Calgary School District No. 19,Public School,AADAC Youth Services,1005  17 Street NW,Calgary,AB,SPECIALTY,N,CBE Data,9573,N,N,N,N,2019/03/03,T2N2E5,1374397,-114.101691983212,51.0611053379559,"(51.0611053379559, -114.101691983212)"
Westmount Elementary,Westmount Charter School Society,Charter,Westmount Elementary School,728 - 32 Street NW,Calgary,AB,Elementary,N,Provincial Data,1580,N,Y,N,N,2019/03/03,T2N2V9,1381383,-114.131428374236,51.0581476202626,"(51.0581476202626, -114.131428374236)"
Holy Angels,Calgary Roman Catholic Separate School District No. 1,Separate School,Holy Angels School,275 Riverglen Dr SE,Calgary,AB,Elementary,N,CSSD Data,389,N,Y,N,N,2019/03/03,T2C3T5,1382636,-114.010017713955,50.974095342522,"(50.974095342522, -114.010017713955)"
Renfrew (Children's Village),Calgary School District No. 19,Public School,Children's Village School,1210 Russet Road NE,Calgary,AB,SPECIALTY,N,CBE Data,9014,N,N,N,N,2019/03/03,T2E5L5,1381396,-114.041964383575,51.0638687867665,"(51.0638687867665, -114.041964383575)"
St. John Bosco Private,Alberta Charitable Society of St. Pius X,Private School,St. John Bosco Private School,712 Fortalice Cres SE,Calgary,AB,Elementary/Junior High,N,Provincial Data,9966,N,Y,Y,N,2019/03/03,T2A2E1,1382136,-113.959439854811,51.0466000121922,"(51.0466000121922, -113.959439854811)"
Nose Creek,Calgary School District No. 19,Public School,Nose Creek School,135 Covepark Square NE,Calgary,AB,GR4-9,N,CBE Data,1674,N,Y,Y,N,2019/03/03,T3K5W9,1550793,-114.060699736927,51.1671495553814,"(51.1671495553814, -114.060699736927)"
H.D. Cartwright,Calgary School District No. 19,Public School,H. D. Cartwright School,5500 Dalhart Road NW,Calgary,AB,GR7-9,N,CBE Data,9660,N,N,Y,N,2019/03/03,T3A1V6,1384099,-114.161327376146,51.1126485404647,"(51.1126485404647, -114.161327376146)"
