NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
St. Boniface,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Boniface Elementary School,927 Lake Sylvan Dr SE,Calgary,AB,Elementary,N,CSSD Data,8532,N,Y,N,N,2019/03/03,T2J2P8,1382586,-114.042341285768,50.9430637075529,"(50.9430637075529, -114.042341285768)"
"Almadina Language Charter Academy, Ogden Campus",Almadina School Society,Charter,"Almadina Language Charter Academy, Ogden Campus",1919 - 76 Ave SE,Calgary,AB,Elementary/Junior High,N,Provincial Data,1725,N,Y,Y,N,2019/03/03,T2C0G8,1382903,-114.012122917572,50.9844965845085,"(50.9844965845085, -114.012122917572)"
Dr. Oakley,Calgary School District No. 19,Public School,Dr. Oakley School,3904 20 Street SW,Calgary,AB,SPECIALTY,N,CBE Data,9630,N,N,N,N,2019/03/03,T2T4Z9,1382285,-114.108435413869,51.0192722131829,"(51.0192722131829, -114.108435413869)"
Renfrew Thomas W. Buchanan Centre,Renfrew Educational Services Society,Private School,Renfrew Thomas W. Buchanan Centre,2050 - 21 Street N.E.,Calgary,AB,Elementary,N,Provincial Data,250,N,Y,N,N,2019/03/03,T2X3V4,1370835,-114.055742299396,50.9022061689607,"(50.9022061689607, -114.055742299396)"
"Almadina Language Charter Academy, Mountain View Campus",Almadina School Society,Charter,"Almadina Language Charter Academy, Mountain View Campus",2031 Sable Drive S.E.,Calgary,AB,Elementary,N,Provincial Data,6007,N,Y,N,N,2019/03/03,T2B1R9,1382521,-113.986831020306,51.0322004569015,"(51.0322004569015, -113.986831020306)"
Monterey Park,Calgary School District No. 19,Public School,Monterey Park School,7400 California Boulevard NE,Calgary,AB,GRK-6,N,CBE Data,538,Y,Y,N,N,2019/03/03,T1Y6R2,1382338,-113.930482887195,51.0774246581365,"(51.0774246581365, -113.930482887195)"
Colonel J. Fred Scott,Calgary School District No. 19,Public School,Colonel J. Fred Scott School,171 Whitehorn Road NE,Calgary,AB,GRK-6,N,CBE Data,9348,Y,Y,N,N,2019/03/03,T1Y3C4,1382350,-113.968164442842,51.0877669036887,"(51.0877669036887, -113.968164442842)"
Hugh A. Bennett,Calgary School District No. 19,Public School,Hugh A. Bennett School,40 Saddlelake Way  NE,Calgary,AB,GRK-4,N,CBE Data,2056,Y,Y,N,N,2019/03/03,T3J0V1,2423257,-113.928548317078,51.1316839550676,"(51.1316839550676, -113.928548317078)"
Rosscarrock,Calgary School District No. 19,Public School,Rosscarrock School,1406 40 Street SW,Calgary,AB,GRK-6,N,CBE Data,9133,Y,Y,N,N,2019/03/03,T3C1W7,1382823,-114.144782231458,51.0412163830986,"(51.0412163830986, -114.144782231458)"
Elbow Park,Calgary School District No. 19,Public School,Elbow Park School,721 - 38 Avenue SW,Calgary,AB,GRK-6,N,CBE Data,9119,Y,Y,N,N,2019/03/03,T2T2H8,1382920,-114.082197041447,51.0195774733958,"(51.0195774733958, -114.082197041447)"
Killarney,Calgary School District No. 19,Public School,Killarney School,3008 33 Street SW,Calgary,AB,GRK-6,N,CBE Data,9104,Y,Y,N,N,2019/03/03,T3E2T9,1382508,-114.134729311146,51.0281934211269,"(51.0281934211269, -114.134729311146)"
,Calgary School District No. 19,Public School,Juno Beach Academy of Canadian Studies,,Calgary,AB,,N,CBE Data,1125,N,N,N,N,2019/03/03,T2H1Z2,1382500,-114.065062483284,50.9753211185672,"(50.9753211185672, -114.065062483284)"
Sir Winston Churchill High,Calgary School District No. 19,Public School,Sir Winston Churchill High School,5220 Northland Drive NW,Calgary,AB,GR10-12,N,CBE Data,9857,N,N,N,Y,2019/03/03,T2L2J6,1383224,-114.139990025515,51.1001126954531,"(51.1001126954531, -114.139990025515)"
Saddle Ridge,Calgary School District No. 19,Public School,Saddle Ridge School,368 Saddlecrest Boulevard NE,Calgary,AB,GRK-4,N,CBE Data,1520,Y,Y,N,N,2019/03/03,T3J5L6,1369491,-113.936879642314,51.1368825751514,"(51.1368825751514, -113.936879642314)"
St. Joan of Arc,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Joan of Arc Elementary/Junior High School,7970 Wentworth Dr SW,Calgary,AB,Elementary / Junior High,N,CSSD Data,1338,N,Y,Y,N,2019/03/03,T3H0K2,1537005,-114.207240351839,51.0571247372523,"(51.0571247372523, -114.207240351839)"
Tom Baines,Calgary School District No. 19,Public School,Tom Baines School,250 Edgepark Boulevard NW,Calgary,AB,GR6-9,N,CBE Data,9690,N,Y,Y,N,2019/03/03,T3A3S2,1383297,-114.156993534133,51.1335143950548,"(51.1335143950548, -114.156993534133)"
Mount Royal,Calgary School District No. 19,Public School,Mount Royal School,2234 14 Street SW,Calgary,AB,GR7-9,N,CBE Data,9639,N,N,Y,N,2019/03/03,T2T3T3,1382526,-114.09391017235,51.0347223434342,"(51.0347223434342, -114.09391017235)"
St. Elizabeth Seton,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Elizabeth Seton,10845 Hidden Valley Dr NW,Calgary,AB,Elementary / Junior High,N,CSSD Data,588,N,Y,Y,N,2019/03/03,T3A6K3,1524239,-114.110436391107,51.1511018316824,"(51.1511018316824, -114.110436391107)"
Father Whelihan,Calgary Roman Catholic Separate School District No. 1,Separate School,Father James Whelihan,70 Sunmills Dr SE,Calgary,AB,Elementary / Junior High,N,CSSD Data,8729,N,Y,Y,N,2019/03/03,T2X2R5,1382251,-114.047019408476,50.9045243486936,"(50.9045243486936, -114.047019408476)"
R.T. Alderman,Calgary School District No. 19,Public School,R. T. Alderman School,725 Mapleton Drive SE,Calgary,AB,GR5-9,N,CBE Data,9653,N,Y,Y,N,2019/03/03,T2J1S1,1382888,-114.044587908456,50.9611593777222,"(50.9611593777222, -114.044587908456)"
St. James,Calgary Roman Catholic Separate School District No. 1,Separate School,St. James Elementary Junior High School,2227 58 Ave SW,Calgary,AB,Elementary / Junior High,N,CSSD Data,8712,N,Y,Y,N,2019/03/03,T3E1N6,1382913,-114.113668410752,51.0011419623501,"(51.0011419623501, -114.113668410752)"
Access International College (Calgary) Inc.,Access International College (Calgary) Incorporated,Private School,Access International College (Calgary) Inc.,B1 - 2451 Dieppe Avenue S.W. Box 100,Calgary,AB,Senior High,N,Provincial Data,1271,N,N,N,Y,2019/03/03,,1379081,-114.119038751587,51.019286584222,"(51.019286584222, -114.119038751587)"
St. Jean Brebeuf,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Jean Brebeuf School,5030 Northland Dr NW,Calgary,AB,Junior High,N,CSSD Data,8703,N,N,Y,N,2019/03/03,T2L2J6,1369132,-114.140228920585,51.0978933839348,"(51.0978933839348, -114.140228920585)"
Valley View,Calgary School District No. 19,Public School,Valley View School,4105 26 Avenue SE,Calgary,AB,GRK-5,N,CBE Data,9330,Y,Y,N,N,2019/03/03,T2B0C6,1382515,-113.975277829578,51.0300545572805,"(51.0300545572805, -113.975277829578)"
Palliser Beyond Borders at Calgary,Palliser Regional Division No. 26,Public School,Palliser Beyond Borders at Calgary,Suite 120 2635 - 37 Avenue,Calgary,AB,Senior High,N,Provincial Data,2000,N,N,N,Y,2019/03/03,T1Y5Z6,1374023,-113.999042328312,51.0861144274715,"(51.0861144274715, -113.999042328312)"
Thorncliffe,Calgary School District No. 19,Public School,Thorncliffe School,5646 Thornton Road NW,Calgary,AB,GRK-6,N,CBE Data,9235,Y,Y,N,N,2019/03/03,T2K3B9,1383226,-114.067096612532,51.1023231208708,"(51.1023231208708, -114.067096612532)"
Prince of Peace,Calgary Roman Catholic Separate School District No. 1,Separate School,Prince of Peace School,43 Auburn Meadows Blvd SE,Calgary,AB,Elementary / Junior High,N,CSSD Data,2080,N,Y,Y,N,2019/03/03,T3M2C9,2357503,-113.949842077329,50.8932638681309,"(50.8932638681309, -113.949842077329)"
St. Kateri Tekakwitha,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Kateri Tekakwitha School,1005 Abbotsford Dr NE,Calgary,AB,Elementary,N,CSSD Data,8552,N,Y,N,N,2019/03/03,T2A7N5,1381388,-113.927660834885,51.0618537975427,"(51.0618537975427, -113.927660834885)"
Little Angels,Asasa Learning,Private School,Little Angels,599 Northmount Dr NW,Calgary,AB,Unknown,N,Provincial Data,1476,N,N,N,N,2019/03/03,T2K3J6,1374276,-114.088022122172,51.0871732920148,"(51.0871732920148, -114.088022122172)"
Fish Creek,Calgary School District No. 19,Public School,Fish Creek School,1039 Suncastle Drive SE,Calgary,AB,GRK-6,N,CBE Data,9384,Y,Y,N,N,2019/03/03,T2X2Z1,1382187,-114.032811389487,50.9015051387272,"(50.9015051387272, -114.032811389487)"
Varsity Acres,Calgary School District No. 19,Public School,Varsity Acres School,4255 40 Street NW,Calgary,AB,GRK-6,N,CBE Data,9238,Y,Y,N,N,2019/03/03,T3A0H7,1383570,-114.148218247273,51.0910143926129,"(51.0910143926129, -114.148218247273)"
Calgary Quest,Calgary Quest Children's Society,Private School,Calgary Quest School,3405 Spruce Drive S.W. c/o Spruce Cliff Elementary,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,5398,N,Y,Y,Y,2019/03/03,T3C0A5,1382146,-114.136638662258,51.0497214962546,"(51.0497214962546, -114.136638662258)"
Foothills Academy,Foothills Academy Society,Private School,Foothills Academy,745 - 37 Street N.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9917,N,Y,Y,Y,2019/03/03,T2N4T1,1005422,-114.14230655126,51.0640721599872,"(51.0640721599872, -114.14230655126)"
Montessori School of Calgary,Montessori School of Calgary,Private School,Montessori School of Calgary,2201 Cliff Street S.W.,Calgary,AB,Elementary,N,Provincial Data,254,N,Y,N,N,2019/03/03,T2S2G4,1000958,-114.076077635662,51.0333610156101,"(51.0333610156101, -114.076077635662)"
Edgemont,Calgary School District No. 19,Public School,Edgemont School,55 Edgevalley Circle NW,Calgary,AB,GRK-5,N,CBE Data,9379,Y,Y,N,N,2019/03/03,T3A4X1,1383683,-114.143578510833,51.1288886732988,"(51.1288886732988, -114.143578510833)"
School of East Indian Languages and Performing Arts,School of East Indian Languages and Performing Arts of Calgary,Private School,School of East Indian Languages and Performing Arts,376 Silverado Boulevard SW,Calgary,AB,Unknown,N,Provincial Data,1750,N,N,N,N,2019/03/03,T2X0N9,1010066,-114.087545377277,50.88374151674,"(50.88374151674, -114.087545377277)"
Ecole Terre des Jeunes,The Southern Francophone Education Region No. 4,Francophone,Ecole Terre des Jeunes,3720 - 42 Street NW,Calgary,AB,Elementary,N,Provincial Data,1364,N,Y,N,N,2019/03/03,T3A0C6,1382344,-114.149955385553,51.0853177109749,"(51.0853177109749, -114.149955385553)"
Vista Heights,Calgary School District No. 19,Public School,Vista Heights School,2411 Vermillion Street NE,Calgary,AB,GRK-6,N,CBE Data,9239,Y,Y,N,N,2019/03/03,T2E6J3,1376033,-114.017073569568,51.0738872389569,"(51.0738872389569, -114.017073569568)"
Patrick Airlie,Calgary School District No. 19,Public School,Patrick Airlie School,1520 39 Street SE,Calgary,AB,GRK-5,N,CBE Data,9327,Y,Y,N,N,2019/03/03,T2A1H9,1382540,-113.976783851469,51.0399113879906,"(51.0399113879906, -113.976783851469)"
Crossing Park,Calgary School District No. 19,Public School,Crossing Park School,500 Martindale Boulevard NE,Calgary,AB,GRK-9,N,CBE Data,536,Y,Y,Y,N,2019/03/03,T3J4W8,1383512,-113.966323698203,51.1156922201425,"(51.1156922201425, -113.966323698203)"
Terry Fox,Calgary School District No. 19,Public School,Terry Fox School,139 Falshire Drive NE,Calgary,AB,GR7-9,N,CBE Data,9689,N,N,Y,N,2019/03/03,T3J1P7,1383228,-113.945103989409,51.1046569110333,"(51.1046569110333, -113.945103989409)"
St. Peter,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Peter Elementary School,720 58 St SE,Calgary,AB,Elementary,N,CSSD Data,8543,N,Y,N,N,2019/03/03,T2A5L9,1382842,-113.949107003872,51.0461850401333,"(51.0461850401333, -113.949107003872)"
Grant MacEwan,Calgary School District No. 19,Public School,Grant MacEwan School,180 Falshire Drive NE,Calgary,AB,GRK-6,N,CBE Data,9378,Y,Y,N,N,2019/03/03,T3J3A5,1383229,-113.942950314013,51.1064276203887,"(51.1064276203887, -113.942950314013)"
Calgary Arts Academy,Calgary Arts Academy Society,Charter,Calgary Arts Academy,640 14th Avenue S.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,1126,N,Y,Y,N,2019/03/03,T2G1E8,2328062,-114.049242211701,51.0394019786634,"(51.0394019786634, -114.049242211701)"
St. Rupert,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Rupert School,111 Rundlehill Dr NE,Calgary,AB,Elementary,N,CSSD Data,8548,N,Y,N,N,2019/03/03,T1Y2W9,1383023,-113.97052825761,51.0768976172906,"(51.0768976172906, -113.97052825761)"
Mount Royal University - Holy Cross Campus,,Post Secondary,,,Calgary,AB,,Y,Post Secondary Data,,N,N,N,N,2019/03/03,T2S3C3,1557837,-114.067081193902,51.0324334909665,"(51.0324334909665, -114.067081193902)"
Thomas B. Riley,Calgary School District No. 19,Public School,Thomas B Riley School,3915 69 Street NW,Calgary,AB,GR6-9,N,CBE Data,9611,N,Y,Y,N,2019/03/03,T3B2J9,1383121,-114.189051595563,51.0875291683988,"(51.0875291683988, -114.189051595563)"
St. Gregory,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Gregory School,5340 26 Ave SW,Calgary,AB,Elementary / Junior High,N,CSSD Data,8710,N,Y,Y,N,2019/03/03,T3E0R6,1382519,-114.160473741521,51.0311374540219,"(51.0311374540219, -114.160473741521)"
University,Calgary School District No. 19,Public School,University School,3035 Utah Drive NW,Calgary,AB,GRK-6,N,CBE Data,9237,Y,Y,N,N,2019/03/03,T2N3Z9,1398634,-114.133275613263,51.0698082000782,"(51.0698082000782, -114.133275613263)"
Glendale,Calgary School District No. 19,Public School,Glendale School,2415 Kelwood Drive SW,Calgary,AB,GRK-6,N,CBE Data,9143,Y,Y,N,N,2019/03/03,T3E3Z8,1382522,-114.14557999709,51.0324672305175,"(51.0324672305175, -114.14557999709)"
Twelve Mile Coulee,Calgary School District No. 19,Public School,Twelve Mile Coulee School,65 Tuscany Hills Road NW,Calgary,AB,GR5-9,N,CBE Data,1678,N,Y,Y,N,2019/03/03,T3L0C7,1545333,-114.2434801097,51.1228361674807,"(51.1228361674807, -114.2434801097)"
École du Nouveau-Monde,The Southern Francophone Education Region No. 4,Francophone,École du Nouveau-Monde,220 Scenic Acres Drive NW,Calgary,AB,Elementary,N,Provincial Data,2149,N,Y,N,N,2019/03/03,T3L0E7,2366228,-114.21512403192,51.1115960168004,"(51.1115960168004, -114.21512403192)"
St. Matthew,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Matthew School,416 83 Ave SE,Calgary,AB,Elementary / Junior High,N,CSSD Data,8716,N,Y,Y,N,2019/03/03,T2H1N3,1382898,-114.058510118624,50.9786823671869,"(50.9786823671869, -114.058510118624)"
Kenneth D. Taylor,Calgary School District No. 19,Public School,Kenneth D. Taylor School,30 Evanscove Circle NW,Calgary,AB,GRK-4,N,CBE Data,2088,Y,Y,N,N,2019/03/03,T3P0A1,2371314,-114.117801387192,51.1650959707769,"(51.1650959707769, -114.117801387192)"
St. Alphonsus,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Alphonsus Elementary Junior High School,928 Radnor Ave NE,Calgary,AB,Elementary / Junior High,N,CSSD Data,8706,N,Y,Y,N,2019/03/03,T2E5H5,1381398,-114.041414988792,51.0647335737061,"(51.0647335737061, -114.041414988792)"
Tuscany,Calgary School District No. 19,Public School,Tuscany School,990 Tuscany Drive NW,Calgary,AB,GRPRE-K-4,N,CBE Data,1335,Y,Y,N,N,2019/03/03,T3L2T4,1383513,-114.245430649263,51.1177870620901,"(51.1177870620901, -114.245430649263)"
Sir John A. Macdonald,Calgary School District No. 19,Public School,Sir John A Macdonald School,6600 4 Street NW,Calgary,AB,GR7-9,N,CBE Data,9652,N,N,Y,N,2019/03/03,T2K1C2,1383509,-114.070045666737,51.1114770162649,"(51.1114770162649, -114.070045666737)"
McKenzie Towne,Calgary School District No. 19,Public School,McKenzie Towne School,679 Prestwick Circle SE,Calgary,AB,GRK-4,N,CBE Data,1463,Y,Y,N,N,2019/03/03,T2Z0V3,1382260,-113.966717485543,50.9270487358853,"(50.9270487358853, -113.966717485543)"
McKenzie Lake,Calgary School District No. 19,Public School,McKenzie Lake School,16210 McKenzie Lake Way SE,Calgary,AB,GRPRE-K-4,N,CBE Data,9385,Y,Y,N,N,2019/03/03,T2Z1L7,1382257,-113.984997382531,50.9062179365854,"(50.9062179365854, -113.984997382531)"
Banff Trail,Calgary School District No. 19,Public School,Banff Trail School,3232 Cochrane Road NW,Calgary,AB,GRK-6,N,CBE Data,9202,Y,Y,N,N,2019/03/03,T2M4J3,1383034,-114.116758754404,51.0816394773265,"(51.0816394773265, -114.116758754404)"
Queen Elizabeth,Calgary School District No. 19,Public School,Queen Elizabeth School,402 18 Street NW,Calgary,AB,GRK-6,N,CBE Data,9227,Y,Y,N,N,2019/03/03,T2N2G5,1382925,-114.101961121474,51.0554584063751,"(51.0554584063751, -114.101961121474)"
Colonel Sanders (TLC),Calgary School District No. 19,Public School,Colonel Sanders School,226 Northmount Drive NW,Calgary,AB,GR1-4,N,CBE Data,1053,N,Y,N,N,2019/03/03,T2K3G5,1383139,-114.074770415337,51.0998137260725,"(51.0998137260725, -114.074770415337)"
St. Andrew,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Andrew School,4331 41 Ave SW,Calgary,AB,Elementary,N,CSSD Data,8508,N,Y,N,N,2019/03/03,T3E1G2,1382283,-114.147724169443,51.0163628240918,"(51.0163628240918, -114.147724169443)"
Balmoral,Calgary School District No. 19,Public School,Balmoral School,220 16 Avenue NW,Calgary,AB,GR5-9,N,CBE Data,9601,N,Y,Y,N,2019/03/03,T2M0H4,1381132,-114.066480171847,51.0678818213644,"(51.0678818213644, -114.066480171847)"
St. Anne Academic Centre,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Anne Academic Centre,1010 21 Ave SE,Calgary,AB,Elementary / Junior High / Senior High,N,CSSD Data,8906,N,Y,Y,Y,2019/03/03,T2G1N2,1377733,-114.038918082565,51.0351393071435,"(51.0351393071435, -114.038918082565)"
All Saints High,Calgary Roman Catholic Separate School District No. 1,Separate School,All Saints School,729 Legacy Village Road SE,Calgary,AB,Senior High,N,CSSD Data,2175,N,N,N,Y,2019/03/03,T2X4K9,2443114,-114.026756759755,50.8593038149473,"(50.8593038149473, -114.026756759755)"
Alternative High,Calgary School District No. 19,Public School,Alternative High School,5003 20 Street SW,Calgary,AB,GR9-12,N,CBE Data,9863,N,N,Y,Y,2019/03/03,T2T5A5,1382202,-114.109959974644,51.0096594597176,"(51.0096594597176, -114.109959974644)"
Dr. Gordon Townsend,Calgary School District No. 19,Public School,Dr. Gordon Townsend School,2888 Shaganappi Trail NW,Calgary,AB,SPECIALTY,N,CBE Data,9886,N,N,N,N,2019/03/03,T3B6A8,1380615,-114.148345569031,51.0744945208654,"(51.0744945208654, -114.148345569031)"
Canadian Montessori,The Canadian Montessori School Ltd.,Private School,Canadian Montessori School,1112 70 Avenue S.W.,Calgary,AB,Elementary,N,Provincial Data,1981,N,Y,N,N,2019/03/03,T2V0P6,1186607,-114.088262165573,50.9907447322797,"(50.9907447322797, -114.088262165573)"
,Calgary School District No. 19,Public School,W.H.Cushing Workplace School,,Calgary,AB,,N,CBE Data,9387,N,N,N,N,2019/03/03,T2P1M6,1005433,-114.064913205681,51.0468240300448,"(51.0468240300448, -114.064913205681)"
Akiva Academy,Congregation House of Jacob-Mikveh Israel,Private School,Akiva Academy,140 Haddon Road S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9914,N,Y,Y,N,2019/03/03,T2V2Y3,1000918,-114.077823550139,50.9732773789079,"(50.9732773789079, -114.077823550139)"
Chief Justice Milvain,Calgary School District No. 19,Public School,Chief Justice Milvain School,3428 42 Street NE,Calgary,AB,GRK-6,N,CBE Data,9361,Y,Y,N,N,2019/03/03,T1Y6A3,1382292,-113.972189983599,51.0836860450484,"(51.0836860450484, -113.972189983599)"
Cedarbrae,Calgary School District No. 19,Public School,Cedarbrae School,10631 Oakfield Drive SW,Calgary,AB,GRK-6,N,CBE Data,9338,Y,Y,N,N,2019/03/03,T2W2T3,1382270,-114.133184517937,50.9583987637107,"(50.9583987637107, -114.133184517937)"
Terrace Road,Calgary School District No. 19,Public School,Terrace Road School,2103 46 Street NW,Calgary,AB,GRPRE-K-6,N,CBE Data,9138,Y,Y,N,N,2019/03/03,T3B1B3,1376539,-114.157931740569,51.0745018784656,"(51.0745018784656, -114.157931740569)"
St. Sebastian,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Sebastian Elementary School,65 Chaparral Dr SE,Calgary,AB,Elementary,N,CSSD Data,1339,N,Y,N,N,2019/03/03,T2X0E6,1541829,-114.029127034641,50.8848430577754,"(50.8848430577754, -114.029127034641)"
Calgary French & International,Calgary French & International School Society,Private School,Calgary French & International School,700 - 77 Street S.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,796,N,Y,Y,Y,2019/03/03,T3H5R1,1381131,-114.197832206367,51.0678949290602,"(51.0678949290602, -114.197832206367)"
Jack James High,Calgary School District No. 19,Public School,Jack James High School,5105 8 Avenue SE,Calgary,AB,GR10-12,N,CBE Data,9856,N,N,N,Y,2019/03/03,T2A4M1,1382835,-113.96037092198,51.044568813029,"(51.044568813029, -113.96037092198)"
Glamorgan,Calgary School District No. 19,Public School,Glamorgan School,50 Grafton Drive SW,Calgary,AB,GRK-9,N,CBE Data,9121,Y,Y,Y,N,2019/03/03,T3E4W3,1000915,-114.145398287145,51.0153799440689,"(51.0153799440689, -114.145398287145)"
Rundle College Senior High,Rundle College Society,Private School,Rundle College Senior High School,7375 - 17 Avenue SW,Calgary,AB,Senior High,N,Provincial Data,9952,N,N,N,Y,2019/03/03,T3H3W5,1382816,-114.193922082318,51.036894107398,"(51.036894107398, -114.193922082318)"
West Dalhousie,Calgary School District No. 19,Public School,West Dalhousie School,6502 58 Street NW,Calgary,AB,GRK-6,N,CBE Data,9344,Y,Y,N,N,2019/03/03,T3A2C8,1383231,-114.169538882148,51.1111682021622,"(51.1111682021622, -114.169538882148)"
Master's College,Palliser Regional Division No. 26,Public School,Master's College,4414 Crowchild Trail SW,Calgary,AB,Junior High/Senior High,N,Provincial Data,1562,N,N,Y,Y,2019/03/03,T2T5J4,1382281,-114.11654760101,51.0153129626849,"(51.0153129626849, -114.11654760101)"
Notre-Dame de la Paix,The Southern Francophone Education Region No. 4,Francophone,Notre-Dame de la Paix,809 Willingdon Blvd SE,Calgary,AB,Elementary,N,Provincial Data,1378,N,Y,N,N,2019/03/03,T2J2B7,1382811,-114.043372602214,50.9509170453084,"(50.9509170453084, -114.043372602214)"
Robert Warren,Calgary School District No. 19,Public School,Robert Warren School,12424 Elbow Drive SW,Calgary,AB,GR6-9,N,CBE Data,9655,N,Y,Y,N,2019/03/03,T2W1H2,1382585,-114.084817014935,50.9425067221209,"(50.9425067221209, -114.084817014935)"
Wilma Hansen,Calgary School District No. 19,Public School,Wilma Hansen School,963 Queensland Drive SE,Calgary,AB,GR5-9,N,CBE Data,9685,N,Y,Y,N,2019/03/03,,1376198,-114.01887042651,50.9322872999641,"(50.9322872999641, -114.01887042651)"
Banbury Crossroads,Banbury Crossroads School,Private School,Banbury Crossroads School,B1 #201 2451 Dieppe Avenue S.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9935,N,Y,Y,Y,2019/03/03,,1379081,-114.119038751587,51.019286584222,"(51.019286584222, -114.119038751587)"
St. Philip,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Philip School,13825 Parkside Dr SE,Calgary,AB,Elementary,N,CSSD Data,8724,N,Y,N,N,2019/03/03,T2J5A8,1541836,-114.038274586724,50.9278826158027,"(50.9278826158027, -114.038274586724)"
Discovering Choices - Bowness - Start Outreach,Calgary School District No. 19,Public School,Start Outreach,4110 79 Street NW,Calgary,AB,OUTREACH,N,CBE Data,1232,N,N,N,N,2019/03/03,T3B5C2,1417013,-114.201903235101,51.0894295268385,"(51.0894295268385, -114.201903235101)"
Pineridge,Calgary School District No. 19,Public School,Pineridge School,1927 61 Street NE,Calgary,AB,GRK-6,N,CBE Data,9360,Y,Y,N,N,2019/03/03,T1Y4W6,1601009,-113.945229289221,51.0703247965852,"(51.0703247965852, -113.945229289221)"
St. Thomas Aquinas,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Thomas Aquinas School,4540 26 Ave SW,Calgary,AB,Elementary,N,CSSD Data,8527,N,Y,N,N,2019/03/03,T3E0R1,1382518,-114.151784895868,51.030987618437,"(51.030987618437, -114.151784895868)"
Taradale,Calgary School District No. 19,Public School,Taradale School,170 Taravista Drive NE,Calgary,AB,GRK-4,N,CBE Data,1450,Y,Y,N,N,2019/03/03,,1383515,-113.937755082685,51.1212530621008,"(51.1212530621008, -113.937755082685)"
